Name,Team,G,PA,AB,H,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,OPS,wOBA,wRC+,K:BB
Adolis Garcia,TEX,125,513,476,112,18,56,73,13,0.051,0.248,0.172,0.278,0.235,0.277,0.408,0.684,0.294,88,4.86
Marcus Semien,TEX,127,534,470,108,15,62,62,11,0.094,0.174,0.134,0.251,0.23,0.305,0.364,0.669,0.295,88,1.85
Royce Lewis,MIN,82,309,283,65,10,31,39,3,0.078,0.17800000000000002,0.159,0.25,0.23,0.288,0.389,0.677,0.295,87,2.28
Brooks Lee,MIN,117,443,409,100,14,43,57,2,0.059000000000000004,0.174,0.139,0.267,0.244,0.293,0.384,0.677,0.295,87,2.95
Otto Lopez,MIA,120,498,450,109,12,56,66,12,0.086,0.14300000000000002,0.12,0.263,0.242,0.311,0.362,0.673,0.297,87,1.66
Ryan McMahon,- - -,132,516,448,97,18,54,46,2,0.122,0.318,0.172,0.295,0.217,0.316,0.388,0.704,0.311,87,2.61
Andrew Vaughn,- - -,94,381,350,82,14,31,59,0,0.063,0.184,0.16,0.252,0.234,0.284,0.394,0.678,0.294,87,2.92
Jonathan India,KCR,124,532,465,108,8,57,41,0,0.098,0.177,0.11,0.274,0.232,0.324,0.342,0.666,0.3,87,1.81
Tommy Edman,LAD,86,332,303,69,12,43,44,3,0.054000000000000006,0.172,0.168,0.239,0.228,0.281,0.396,0.677,0.293,86,3.19
Anthony Volpe,NYY,135,535,480,101,19,59,70,16,0.077,0.24100000000000002,0.194,0.242,0.21,0.274,0.404,0.679,0.292,86,3.13
Mauricio Dubon,HOU,112,351,325,81,7,38,28,3,0.06,0.10300000000000001,0.123,0.261,0.249,0.296,0.372,0.668,0.293,86,1.72
Michael Harris II,ATL,136,549,523,132,17,47,77,15,0.026000000000000002,0.20199999999999999,0.163,0.288,0.252,0.273,0.415,0.688,0.294,86,7.77
Carlos Santana,- - -,117,456,397,89,11,49,52,7,0.114,0.191,0.108,0.257,0.224,0.316,0.332,0.648,0.291,85,1.68
Max Kepler,PHI,111,413,362,77,14,51,43,2,0.10400000000000001,0.184,0.163,0.228,0.213,0.299,0.376,0.674,0.294,85,1.77
Chandler Simpson,TBR,88,351,328,95,0,42,22,38,0.051,0.10300000000000001,0.052,0.323,0.29,0.325,0.341,0.666,0.295,85,2.02
Kyle Isbel,KCR,121,368,332,88,4,41,31,4,0.054000000000000006,0.188,0.105,0.321,0.265,0.306,0.37,0.677,0.296,84,3.48
Ozzie Albies,ATL,138,586,529,125,13,62,61,12,0.085,0.15,0.117,0.26,0.236,0.305,0.353,0.659,0.291,84,1.76
Luis Urias,ATH,96,330,287,66,8,27,25,2,0.094,0.136,0.108,0.245,0.23,0.315,0.338,0.653,0.293,83,1.45
Luis Robert Jr.,CHW,110,431,382,85,14,52,53,33,0.09300000000000001,0.26,0.141,0.274,0.223,0.297,0.364,0.661,0.289,83,2.8
Nolan Arenado,STL,96,394,361,85,10,43,43,2,0.071,0.099,0.13,0.239,0.235,0.294,0.366,0.66,0.286,83,1.39
Pedro Pages,STL,100,340,314,72,11,36,44,0,0.053,0.271,0.15,0.286,0.229,0.276,0.379,0.655,0.284,81,5.11
Alek Thomas,ARI,121,407,377,94,8,44,35,6,0.042,0.268,0.122,0.327,0.249,0.289,0.371,0.66,0.288,81,6.38
Logan O'Hoppe,LAA,104,397,374,84,19,35,43,2,0.048,0.317,0.176,0.283,0.225,0.265,0.401,0.666,0.288,81,6.6
Victor Scott II,STL,116,402,349,78,5,49,35,31,0.092,0.24600000000000002,0.089,0.296,0.223,0.311,0.312,0.623,0.283,81,2.67
Eric Wagaman,MIA,121,453,417,99,9,48,45,3,0.068,0.205,0.134,0.282,0.237,0.289,0.372,0.661,0.288,81,3.01
Michael Conforto,LAD,119,414,357,68,10,45,29,1,0.111,0.249,0.14,0.236,0.19,0.297,0.331,0.628,0.283,80,2.24
Gabriel Arias,CLE,107,386,351,78,9,36,45,6,0.06,0.33399999999999996,0.14,0.318,0.222,0.281,0.362,0.642,0.281,79,5.57
Nolan Jones,CLE,120,358,312,68,5,33,31,8,0.10300000000000001,0.268,0.099,0.294,0.218,0.308,0.317,0.625,0.282,79,2.6
Matt McLain,CIN,123,494,435,97,13,62,42,16,0.095,0.271,0.12,0.288,0.223,0.303,0.343,0.646,0.288,78,2.85
Brenton Doyle,COL,117,460,426,106,14,52,53,15,0.063,0.248,0.153,0.305,0.249,0.294,0.401,0.696,0.301,78,3.94
Luis Rengifo,LAA,126,471,434,107,7,49,33,8,0.064,0.187,0.094,0.292,0.247,0.298,0.341,0.639,0.283,77,2.92
Bo Naylor,CLE,105,349,300,53,11,37,31,1,0.12,0.24600000000000002,0.17,0.203,0.177,0.277,0.347,0.623,0.276,75,2.05
Isiah Kiner-Falefa,PIT,119,428,401,106,1,40,35,15,0.04,0.161,0.067,0.316,0.264,0.3,0.332,0.632,0.28,75,4.03
Dane Myers,MIA,99,318,292,68,6,28,27,17,0.07200000000000001,0.23600000000000002,0.092,0.292,0.233,0.292,0.325,0.618,0.276,72,3.28
Joey Ortiz,MIL,126,439,405,94,7,56,43,11,0.059000000000000004,0.146,0.094,0.26,0.232,0.283,0.326,0.609,0.271,72,2.47
Jonah Heim,TEX,105,377,346,76,10,31,40,3,0.066,0.21,0.124,0.253,0.22,0.271,0.344,0.615,0.27,71,3.18
Angel Martinez,CLE,115,410,382,86,10,47,41,7,0.039,0.22899999999999998,0.139,0.27,0.225,0.261,0.364,0.625,0.271,71,5.87
Ke'Bryan Hayes,- - -,129,497,464,113,5,47,47,12,0.054000000000000006,0.195,0.08,0.298,0.244,0.292,0.323,0.616,0.273,70,3.61
Tyrone Taylor,NYM,109,328,298,65,2,33,25,11,0.049,0.223,0.097,0.28,0.218,0.277,0.315,0.592,0.262,68,4.55
Jacob Young,WSN,104,324,287,66,1,30,25,13,0.077,0.17,0.052,0.281,0.23,0.298,0.282,0.581,0.265,66,2.21
Jordan Walker,STL,91,328,304,67,5,33,34,7,0.064,0.317,0.092,0.316,0.22,0.274,0.313,0.587,0.261,66,4.95
Taylor Walls,TBR,101,317,282,62,4,36,38,14,0.08199999999999999,0.221,0.099,0.271,0.22,0.28,0.319,0.599,0.265,65,2.7
Jose Iglesias,SDP,98,304,271,60,1,26,30,4,0.07200000000000001,0.161,0.044,0.265,0.221,0.292,0.266,0.558,0.256,64,2.24
Santiago Espinal,CIN,109,325,298,73,0,24,16,2,0.065,0.11699999999999999,0.04,0.279,0.245,0.295,0.285,0.58,0.261,59,1.8
Patrick Bailey,SFG,112,378,339,70,2,34,39,1,0.071,0.304,0.08,0.3,0.206,0.267,0.286,0.554,0.248,57,4.28
Michael Toglia,COL,85,329,299,58,11,22,32,3,0.08199999999999999,0.38299999999999995,0.167,0.287,0.194,0.261,0.361,0.623,0.27,56,4.67
Nick Allen,ATL,128,405,361,80,0,31,21,8,0.07400000000000001,0.242,0.028,0.301,0.222,0.285,0.249,0.534,0.245,52,3.27
